date,q_out
2001-01-31,0.12168757426176
2001-02-28,0.06296985778176001
2001-03-31,0.0981319836672
2001-04-30,0.10337743300607999
2001-05-31,0.17461180938240004
2001-06-30,0.1357357879296
2001-07-31,0.15166296852480002
2001-08-31,0.14941212272640003
2001-09-30,0.1579017259008
2001-10-31,0.163797963264
2001-11-30,0.155785441536
2001-12-31,0.11446774170624001
2002-01-31,0.1213254816768
2002-02-28,0.12443262750720001
2002-03-31,0.15323611401216
2002-04-30,0.1705015692288
2002-05-31,0.2091084678144
2002-06-30,0.19880840171520003
2002-07-31,0.22380257636352002
2002-08-31,0.1996891674624
2002-09-30,0.19849034741760002
2002-10-31,0.1725566893056
2002-11-30,0.16061742028800002
2002-12-31,0.2045089133568
2003-01-31,0.0708649440768
2003-02-28,0.06466043870208
2003-03-31,0.21091648416768
2003-04-30,0.209548850688
2003-05-31,0.22415488266240002
2003-06-30,0.19301002721279997
2003-07-31,0.2174023452672
2003-08-31,0.2530733580288
2003-09-30,0.203554750464
2003-10-31,0.0
2003-11-30,0.0
2003-12-31,0.0
2004-01-31,0.0
2004-02-29,0.0
2004-03-31,0.0
2004-04-30,0.0
2004-05-31,0.0
2004-06-30,0.0
2004-07-31,0.0
2004-08-31,0.0
2004-09-30,0.007462043136
2004-10-31,0.19000074424320001
2004-11-30,0.14659122576384
2004-12-31,0.21953086248960005
2005-01-31,0.08173016819712
2005-02-28,0.11515767487487999
2005-03-31,0.10084033833984
2005-04-30,0.18162857650176004
2005-05-31,0.14606031974400002
2005-06-30,0.1726790178816
2005-07-31,0.23937255751680003
2005-08-31,0.18894871848960004
2005-09-30,0.17811040665600003
2005-10-31,0.19467369584639999
2005-11-30,0.1702324463616
2005-12-31,0.15558726924288
2006-01-31,0.20277429414912
2006-02-28,0.17926029527040002
2006-03-31,0.19186013859839998
2006-04-30,0.14417645967360002
2006-05-31,0.195481064448
2006-06-30,0.206245979136
2006-07-31,0.2492077750272
2006-08-31,0.22454633410560002
2006-09-30,0.1998604274688
2006-10-31,0.1907347156992
2006-11-30,0.13666793167872002
2006-12-31,0.13649422510080003
2007-01-31,0.1870648584192
2007-02-28,0.18982948423680002
2007-03-31,0.2768540332032
2007-04-30,0.2735022302208
2007-05-31,0.24984388362240004
2007-06-30,0.1866000098304
2007-07-31,0.2726214644736
2007-08-31,0.2651594213376
2007-09-30,0.22046055966720002
2007-10-31,0.0
2007-11-30,0.0
2007-12-31,0.0
2008-01-31,0.0
2008-02-29,0.0
2008-03-31,0.0
2008-04-30,0.0
2008-05-31,0.0
2008-06-30,0.0
2008-07-31,0.0
2008-08-31,0.0
2008-09-30,0.0
2008-10-31,0.0
2008-11-30,0.0
2008-12-31,0.0
2009-01-31,0.0
2009-02-28,0.0
2009-03-31,0.0
2009-04-30,0.0
2009-05-31,0.0
2009-06-30,0.0
2009-07-31,0.0
2009-08-31,0.0
2009-09-30,0.005724977356800001
2009-10-31,0.17952941813759998
2009-11-30,0.16213429463040002
2009-12-31,0.09392632722432001
2010-01-31,0.07129064752128
2010-02-28,0.054502273751040005
2010-03-31,0.05751400329216
2010-04-30,0.09718271391744
2010-05-31,0.11853639014400001
2010-06-30,0.1609354745856
2010-07-31,0.2133899679744
2010-08-31,0.2365590002688
2010-09-30,0.22635679703040001
2010-10-31,0.19376846438400003
2010-11-30,0.18288122112000002
2010-12-31,0.14527497028608
2011-01-31,0.12956308798464
2011-02-28,0.1579017259008
2011-03-31,0.14544867686399998
2011-04-30,0.15305751429120001
2011-05-31,0.16529037189120002
2011-06-30,0.18522992977920003
2011-07-31,0.21747574241280002
2011-08-31,0.21855223388160003
2011-09-30,0.217622536704
2011-10-31,0.1616939117568
2011-11-30,0.1676880119808
2011-12-31,0.15635549270016
2012-01-31,0.1470144826368
2012-02-29,0.08004448041984001
2012-03-31,0.09749098192896
2012-04-30,0.15978558597120002
2012-05-31,0.23425922304000002
2012-06-30,0.172850277888
2012-07-31,0.172727949312
2012-08-31,0.17390230364160003
2012-09-30,0.1880679527424
2012-10-31,0.2025516561408
2012-11-30,0.19364613580800003
2012-12-31,0.11486408629248
2013-01-31,0.10709132857343999
2013-02-28,0.11261324049408002
2013-03-31,0.11458517713920001
2013-04-30,0.135050747904
2013-05-31,0.11293374136320002
2013-06-30,0.11219487676416001
2013-07-31,0.18033678673919998
2013-08-31,0.1259739675648
2013-09-30,0.1295948934144
2013-10-31,0.13246961495040002
2013-11-30,0.12690121817088001
2013-12-31,0.11068289556480002
2014-01-31,0.07495805822976
2014-02-28,0.05474203776
2014-03-31,0.049110030120960005
2014-04-30,0.0361236284928
2014-05-31,0.02783464418304
2014-06-30,0.03315838381056
2014-07-31,0.09027114937344001
2014-08-31,0.05944190164992001
2014-09-30,0.036576244224
2014-10-31,0.05918990478336
2014-11-30,0.06083644741632001
2014-12-31,0.08578658377728
2015-01-31,0.05071253446656001
2015-02-28,0.040238761789440004
2015-03-31,0.08217299764224001
2015-04-30,0.09376240693247999
2015-05-31,0.09520833070080001
2015-06-30,0.0712074640896
2015-07-31,0.08977938849792
2015-08-31,0.07867929351168
2015-09-30,0.061998568888320005
