,storage_km3
2001-01-31,23.926233410160002
2001-02-28,25.577794055280002
2001-03-31,28.06218066072
2001-04-30,29.29663757688
2001-05-31,29.41479509304
2001-06-30,25.82021728056
2001-07-31,22.33313354964
2001-08-31,19.98522040488
2001-09-30,18.910111836
2001-10-31,17.81897912844
2001-11-30,18.5663039556
2001-12-31,21.80313679716
2002-01-31,24.88487679744
2002-02-28,26.44536221328
2002-03-31,28.27838503512
2002-04-30,29.84021741112
2002-05-31,29.86266551364
2002-06-30,27.08236828968
2002-07-31,23.1387958134
2002-08-31,20.6770596012
2002-09-30,19.36401274032
2002-10-31,18.16111440996
2002-11-30,18.49473497904
2002-12-31,22.03390980384
2003-01-31,24.9950166936
2003-02-28,26.13776930568
2003-03-31,28.76329562664
2003-04-30,31.00525530636
2003-05-31,32.92123952604
2003-06-30,32.03584141464
2003-07-31,27.65896715004
2003-08-31,24.752040869280002
2003-09-30,23.62099644936
2003-10-31,22.51388030796
2003-11-30,22.39808613948
2003-12-31,24.06476061504
2004-01-31,25.79749657896
2004-02-29,28.221929889000002
2004-03-31,30.2100714552
2004-04-30,30.65051509272
2004-05-31,29.77426570248
2004-06-30,26.46091022868
2004-07-31,22.55265968568
2004-08-31,20.08048823268
2004-09-30,19.08548925588
2004-10-31,18.89115694884
2004-11-30,19.35322595772
2004-12-31,20.87530697376
2005-01-31,24.79501654596
2005-02-28,26.67902279664
2005-03-31,29.81355450744
2005-04-30,31.29740504436
2005-05-31,35.49338576652
2005-06-30,35.80567823292
2005-07-31,32.8553494914
2005-08-31,29.4295869852
2005-09-30,27.77967303588
2005-10-31,26.70891988488
2005-11-30,26.60827778472
2005-12-31,31.22017316112
2006-01-31,30.572968672080002
2006-02-28,31.663631423760002
2006-03-31,32.57513860632
2006-04-30,34.32457588944
2006-05-31,36.75442664364
2006-06-30,36.42890017032
2006-07-31,33.25751701104
2006-08-31,29.81460666588
2006-09-30,28.03049872692
2006-10-31,27.08671013928
2006-11-30,27.04457076204
2006-12-31,28.03544868216
2007-01-31,27.91395706956
2007-02-28,29.43910698384
2007-03-31,30.44698965924
2007-04-30,30.48205626216
2007-05-31,29.01278052492
2007-06-30,25.36802474604
2007-07-31,21.805613625
2007-08-31,19.41124268952
2007-09-30,18.29119351032
2007-10-31,17.87333119116
2007-11-30,17.7702097962
2007-12-31,18.29179421508
2008-01-31,20.40259056552
2008-02-29,22.6032002952
2008-03-31,23.63084702064
2008-04-30,23.95061190888
2008-05-31,24.56536600608
2008-06-30,22.0832884752
2008-07-31,18.7163197932
2008-08-31,16.21470270564
2008-09-30,14.90705972064
2008-10-31,14.10453172956
2008-11-30,14.52164655984
2008-12-31,14.6308983504
2009-01-31,15.80637765384
2009-02-28,18.48077568588
2009-03-31,22.84456889508
2009-04-30,24.28729027488
2009-05-31,26.85164832264
2009-06-30,24.67041903072
2009-07-31,21.45173808084
2009-08-31,19.0267743744
2009-09-30,17.75011270656
2009-10-31,17.3387939988
2009-11-30,16.85080340772
2009-12-31,17.53445723076
2010-01-31,20.51328799464
2010-02-28,23.216468049
2010-03-31,26.04137531064
2010-04-30,28.76203501008
2010-05-31,30.043224783
2010-06-30,31.75629784224
2010-07-31,28.46543857668
2010-08-31,25.07745386244
2010-09-30,23.18603933088
2010-10-31,22.97555830368
2010-11-30,23.41970361468
2010-12-31,27.02785464108
2011-01-31,28.01656410336
2011-02-28,29.29830647532
2011-03-31,31.38363886464
2011-04-30,32.52584627856
2011-05-31,33.78286724436
2011-06-30,36.31849754292
2011-07-31,35.03706847488
2011-08-31,31.5913840332
2011-09-30,29.25976885968
2011-10-31,28.28889181776
2011-11-30,27.68087745528
2011-12-31,27.2937855282
2012-01-31,27.42376471668
2012-02-29,26.9203247886
2012-03-31,29.83407221376
2012-04-30,33.13346099352
2012-05-31,32.67267973776
2012-06-30,29.276863659
2012-07-31,25.20580239036
2012-08-31,22.20429656364
2012-09-30,20.74386117756
2012-10-31,19.72867136664
2012-11-30,20.38895814456
2012-12-31,24.70209479712
2013-01-31,25.52431652988
2013-02-28,25.89353656524
2013-03-31,26.97601394364
2013-04-30,27.538754656200002
2013-05-31,26.20048066236
2013-06-30,23.491688274
2013-07-31,20.36474369868
2013-08-31,18.4565982444
2013-09-30,17.27083048428
2013-10-31,16.11305038536
2013-11-30,15.68433590916
2013-12-31,15.45928254924
2014-01-31,15.2088269022
2014-02-28,16.35318303828
2014-03-31,18.68122975416
2014-04-30,20.34168995748
2014-05-31,20.03364806316
2014-06-30,17.96894932728
2014-07-31,15.41608484616
2014-08-31,13.72288561668
2014-09-30,12.94085066232
2014-10-31,12.0910828542
2014-11-30,12.04770012912
2014-12-31,15.5567607732
2015-01-31,16.60593789204
2015-02-28,19.355583138
2015-03-31,19.87916209404
2015-04-30,19.7052562158
2015-05-31,18.73183820508
2015-06-30,16.95508180692
2015-07-31,14.55216285504
2015-08-31,12.95503444884
2015-09-30,12.07558911192
2015-10-31,11.24856174108
2015-11-30,11.09105621292
2015-12-31,12.1049841738
2016-01-31,16.3656831246
2016-02-29,18.789724188
2016-03-31,24.98121035196
2016-04-30,26.94928813248
2016-05-31,27.43391872404
2016-06-30,25.82695208136
2016-07-31,22.14953621904
2016-08-31,19.71667577364
2016-09-30,18.49747453812
2016-10-31,18.67044297156
2016-11-30,19.74844528452
2016-12-31,23.17608761424
2017-01-31,28.7659439082
2017-02-28,32.3445099168
2017-03-31,31.55896571184
2017-04-30,32.39397369828
2017-05-31,34.50605163444
2017-06-30,35.0497905876
2017-07-31,33.07732408524
2017-08-31,29.97645527712
2017-09-30,27.49587519096
2017-10-31,25.13392751076
2017-11-30,25.56130366116
2017-12-31,25.33163215212
2018-01-31,26.37751217892
2018-02-28,25.91586748716
2018-03-31,30.20721101508
2018-04-30,33.1681106802
2018-05-31,32.64734035812
2018-06-30,30.14754512052
2018-07-31,26.23333316868
2018-08-31,23.64640613736
2018-09-30,22.2341677488
2018-10-31,21.2206727394
2018-11-30,20.70119757132
2018-12-31,21.57831903192
